Comparison: WORD2VEC GOOGLENEWS NORMALIZED, FASTTEXT NORMALIZED COSINE, GLOVE NORMALIZED, CONCEPTNET NUMBERBATCH, UNIVERSAL SENTENCE ENCODER WITH WORDS
    WORD2VEC GOOGLENEWS NORMALIZED
               FASTTEXT NORMALIZED COSINE
                          GLOVE NORMALIZED
                                     CONCEPTNET NUMBERBATCH
                                                UNIVERSAL SENTENCE ENCODER WITH WORDS
                                                          | STD        MEAN       AMAX       AMIN       RNG       | PROPERTY
    0.2933000  0.2543467  0.2563353  0.2807017  0.1953552 | 0.0337108  0.2560078  0.2933000  0.1953552  0.0979448 | Centroid Norm Range
    0.0454631  0.0419872  0.0471484  0.0472594  0.0295967 | 0.0066269  0.0422910  0.0472594  0.0295967  0.0176627 | Centroid Norm Standard Dev
    (8)        (8)        (8)        (8)        (8)       | ()         ()         ()         ()         ()        | Centroid Norm Histogram Key
    11.552363  9.7640424  9.0300151  9.3400509  6.3550471 | 1.6729422  9.2083038  11.552363  6.3550471  5.1973161 | Dispersion Avg
    1.2411029  1.2278306  0.8424535  1.4082534  8.142e-13 | 0.5071112  0.9439281  1.4082534  8.142e-13  1.4082534 | Dispersion Min
    18.045955  15.800821  15.529385  17.489677  11.193034 | 2.4091305  15.611775  18.045955  11.193034  6.8529211 | Dispersion Max
    16.804852  14.572990  14.686932  16.081424  11.193034 | 1.9312524  14.667846  16.804852  11.193034  5.6118182 | Dispersion Range
    2.6048443  2.4056868  2.7014024  2.7078121  1.6957667 | 0.3797002  2.4231025  2.7078121  1.6957667  1.0120455 | Dispersion Standard Dev
    (9)        (9)        (9)        (9)        (9)       | ()         ()         ()         ()         ()        | Dispersion Histogram Key
    0.0576547  0.0576687  0.0576768  0.0576494  0.0441660 | 0.0053986  0.0549631  0.0576768  0.0441660  0.0135109 | Standard Dev Avg
    0.0570584  0.0572183  0.0572993  0.0569807  0.0439180 | 0.0052897  0.0544950  0.0572993  0.0439180  0.0133813 | Standard Dev Min
    0.0577350  0.0577350  0.0577350  0.0577367  0.0441942 | 0.0054165  0.0550272  0.0577367  0.0441942  0.0135425 | Standard Dev Max
    0.0006766  0.0005167  0.0004357  0.0007559  0.0002762 | 0.0001709  0.0005322  0.0007559  0.0002762  0.0004797 | Standard Dev Range
    0.0001125  8.429e-05  7.603e-05  0.0001133  4.279e-05 | 2.614e-05  8.578e-05  0.0001133  4.279e-05  7.054e-05 | Standard Dev Standard Dev
    (10)       (10)       (10)       (10)       (10)      | ()         ()         ()         ()         ()        | Standard Dev Histogram Key
    20.367717  17.205140  15.754772  15.547752  11.321929 | 2.9213196  16.039462  20.367717  11.321929  9.0457881 | Repulsion Avg
    2.6959354  2.7446708  1.6595335  3.1691483  6.830e-06 | 1.1408028  2.0538590  3.1691483  6.830e-06  3.1691415 | Repulsion Min
    30.682492  27.711428  27.665915  26.962973  19.084536 | 3.8856856  26.421469  30.682492  19.084536  11.597956 | Repulsion Max
    27.986556  24.966757  26.006382  23.793825  19.084529 | 2.9793117  24.367610  27.986556  19.084529  8.9020270 | Repulsion Range
    4.1768955  4.2129176  4.6763529  4.3178661  2.8204088 | 0.6353258  4.0408882  4.6763529  2.8204088  1.8559441 | Repulsion Standard Dev
    (11)       (11)       (11)       (11)       (11)      | ()         ()         ()         ()         ()        | Repulsion Histogram Key
    4.4783099  3.7775137  3.3544218  3.4933243  2.3327380 | 0.6952742  3.4872616  4.4783099  2.3327380  2.1455719 | Skew Avg
    0.4380421  0.4449686  0.3849529  0.4710841  8.142e-13 | 0.1761417  0.3478095  0.4710841  8.142e-13  0.4710841 | Skew Min
    7.7140384  7.4332075  6.7831715  7.2350714  5.3282408 | 0.8418206  6.8987459  7.7140384  5.3282408  2.3857975 | Skew Max
    7.2759963  6.9882388  6.3982186  6.7639873  5.3282408 | 0.6753730  6.5509364  7.2759963  5.3282408  1.9477555 | Skew Range
    1.2216010  1.1622614  1.1857866  1.2298889  0.7726307 | 0.1726400  1.1144337  1.2298889  0.7726307  0.4572582 | Skew Standard Dev
    (12)       (12)       (12)       (12)       (12)      | ()         ()         ()         ()         ()        | Skew Histogram Key
    1.0000000  1.0000000  1.0000000  1.0000000  1.0000000 | 0.0000000  1.0000000  1.0000000  1.0000000  0.0000000 | Node Count Avg
    1.0000000  1.0000000  1.0000000  1.0000000  1.0000000 | 0.0000000  1.0000000  1.0000000  1.0000000  0.0000000 | Node Count Min
    1.0000000  1.0000000  1.0000000  1.0000000  1.0000000 | 0.0000000  1.0000000  1.0000000  1.0000000  0.0000000 | Node Count Max
    0.0000000  0.0000000  0.0000000  0.0000000  0.0000000 | 0.0000000  0.0000000  0.0000000  0.0000000  0.0000000 | Node Count Range
    0.0000000  0.0000000  0.0000000  0.0000000  0.0000000 | 0.0000000  0.0000000  0.0000000  0.0000000  0.0000000 | Node Count Standard Dev
    (13)       (13)       (13)       (13)       (13)      | ()         ()         ()         ()         ()        | Node Count Histogram Key

